Student_id ,Answer,Rank,,Promp
0013,This picture has people outside. They sit on grass. There is one dog. They look happy. It is sunny.,A1,,
0014,There are four people. They are friends. They are having picnic. The place is park. There is a camera. They enjoy and talk,A2,,
0015,"In the image, a group of friends appears to be enjoying a picnic in what seems to be a park. There’s also a dog with them. They're sitting on the grass and there are some pine cones around. It looks like a bright, sunny day.",B1,,
0016,"The photo captures a convivial gathering of four individuals in an outdoor setting, possibly a park. They are engaging in a conversation and laughter, indicating a relaxed and joyful atmosphere. There’s a canine companion present, contributing to the casual ambiance. The foliage suggests it could be either late spring or summer.",B2,,
0017,"Displayed is an image of a quartet of individuals, likely friends, partaking in a leisurely picnic ensconced within a verdant parkland. The assemblage includes a jovial canine. They are seated on a blanket, with various items strewn about, suggesting an impromptu or casual outing. The dialogue amongst them is animated, signaling a strong rapport and enjoyment of the day's reprieve.",C1,,
0018,"In this quintessentially bucolic scene, a coterie of four—engrossed in what one might assume to be a spirited parley—revels beneath the penumbra of the arboreal giants. A loquacious camaraderie is palpable, underscored by the shared smiles and the communal placement upon a picnic blanket. The tableau is attended by a small canine, its countenance bearing the ease of its companions. A camera, resting nonchalantly, signifies not just a moment captured, but a deliberate pause to revel in the simplicity of a convivial repose.",C2,,
0019,"The composition of the photograph is an eloquent testament to the joy found in simple gatherings. Four individuals, seemingly in the full bloom of youth, are depicted amidst a sylvan retreat. Their postures are relaxed, their faces animated with the luster of genuine enjoyment. Accompanying their casual symposium is a diminutive canine, an emblem of fidelity and joy. The verdure that envelops them is indicative of the halcyon days of summer, a time for indelible memories etched into the very fabric of their being.",C2,,
0020,"One observes a gathering that is a study in companionship and spontaneous merriment. The subjects of this outdoor tableau, four in number, exhibit a variety of repose and engagement, suggesting an impromptu discourse under the aegis of a copse's gentle shade. The inclusion of a canine friend, along with personal effects casually arrayed, adds an intimate dimension to the scene. The verdant environs whisper of summer's zenith, framing a moment that is at once transient yet etched in the collective memory of the group",C2,,
0021,Four friends and one dog. They sit on green grass. They drink something. There are trees around them. It is a nice place.,A1,,
0022,People are in a park. They sit on white cloth. They have red cups. The sun is bright. They smile and talk,A1,,
0023,Some people and a dog are outside. They look happy. They are talking. They sit on a blanket. There are trees behind.,A1,,
0024,"In the picture, people are together. They sit on the grass. They have a pet. It is a sunny day. They are happy to be outside.",A1,,
0025,"There are four happy people. They sit on a big white blanket on the grass. The grass is green and there are many trees. They have red cups. Maybe they drink juice or water. They talk, laugh, and look at each other. One person has sunglasses. There is a cute dog too. The dog is small and looks friendly. The dog is with the people. They all have a good time. The sun shines and it is a beautiful day. The sky is not in the picture, but because of the light, it is probably very blue and clear.",A1,,
0026,"In this picture, I see a group of friends having a picnic. They are outside in a place with a lot of trees. It looks like a park. They sit on the ground on a white thing, maybe a blanket or sheet. They have some things to eat and drink. I see red cups, and maybe they have sandwiches or fruit. There is a brown and white dog. The dog looks very happy with the people. They are enjoying the sunny weather. It must be warm because they wear T-shirts and shorts. Everyone is smiling and talking.",A1,,
0027,"There is a photo with people and a dog. They sit on a white blanket in a place with trees and grass. It is daytime and maybe it is a weekend because they look relaxed. They have cups for drinking. One man wears a watch. The dog is small and has white fur with brown spots. The people are young, like students. They have a camera to take pictures of the picnic. They are laughing and having fun together. It is a happy day for them. The sun is shining and it is bright outside. They seem like good friends.",A1,,
0028,"In the photo, there are four people and one small dog. They are sitting on a white blanket. They are in a park with many big trees. The trees have green leaves. It is sunny and the sun makes the grass look very green. The people have red cups and they are drinking. They are smiling and looking happy. One woman has curly hair. The dog is cute and looks at the camera. The people are wearing sunglasses and casual clothes. It is a nice day for a picnic with friends. They are enjoying their time.",A1,,
0029,The picture shows a picnic with four people and a little dog. They are in a park with many trees. They sit on a blanket that is white. They have drinks in red cups. Maybe it is juice or soda. The weather is sunny and nice. They wear summer clothes. One man has a beard and smiles. The dog is small and has fur that is brown and white. The dog seems happy with the people. They look like they are having a fun time. They talk and laugh in the park. It is a good day to be outside with friends.,A1,,
0030,"In this photo, four friends are enjoying a sunny day. They chose a park for a picnic. They look happy. They sit on a white blanket on the grass. The grass is long and green. They have things for a picnic, like red cups for drinks. They are smiling and talking to each other. One friend has sunglasses on his head. The weather is nice for being outside. They brought a small dog. The dog's fur is white with brown. They also have a black camera to take photos. The park has a lot of trees, and it looks quiet and peaceful.",A2,,
0031,"There are four people in this picture. They seem to be best friends. They are having a good time together in a green park. There is a white and brown dog with them. The dog is small and cute. They are sitting on a white blanket on the grass. They have red cups, maybe with juice or water inside. They are wearing casual clothes because it is warm. They are talking and laughing with each other. One person has sunglasses. There is a black camera, too. They will remember this day because they are happy.",A2,,
0032,This is a photo of a group of young people. They are at a park having a picnic. There is green grass around them. They sit on a white blanket. They have drinks in red cups. One woman is laughing. They are having a fun conversation. There is a small dog with them. It looks like a friendly dog. There are trees in the background. It must be a warm sunny day. They also have a camera. They can take pictures of their picnic. They seem to enjoy the nice weather and each other’s company.,A2,,
0033,"In the image, there is a group of four people and a dog. They are sitting in a park. They look very happy. They are having a picnic on a sunny day. They sit on a white blanket. They have red cups, so they are probably drinking something. They talk and smile. The dog is small and has white and brown hair. One of the men is wearing a watch. The trees are big and there are many leaves. It is a nice day for friends to meet outside and enjoy the good weather together.",A2,,
0034,"The picture shows four friends and a little dog having a picnic. They are in a park with trees and grass. They are sitting on a blanket. They have drinks in red cups. It is sunny. They are dressed for summer. They are laughing and having a good conversation. The dog looks happy. They have a camera to take photos of their day. The trees are green and tall. It looks like a nice, quiet place. They seem to enjoy the day and the company of each other. It is a perfect day for a picnic in the park.",A2,,
0035,I see four happy people. They sit on the green grass. There is one white and brown dog. They are talking and laughing. They have some cameras and cups. Trees are everywhere. It is sunny.,A1,,
0036,"The picture shows four friends enjoying a picnic on the grass. The sun is shining. They are smiling and seem to be having a good time. There is a friendly dog with them. They also have cameras, maybe for taking photos of their picnic. There are many trees in the background. It looks like a nice day.",A2,,
0037,"In this photo, we see a diverse group of friends engaged in conversation at a park. They seem relaxed and happy as they sit on a blanket, with a variety of items scattered around them, including cameras, suggesting they're interested in photography. The dog with them seems to be part of their conversation. The scene is set against a backdrop of tall, green trees.",B1,,
0038,"This image captures a moment of leisure, where a group of individuals is gathered in a verdant park. The composition of the photo includes people, a canine, and various personal items, which contribute to the narrative of a relaxed day out. They're sharing stories and laughs. The dog, looking slightly away, adds a sense of movement and spontaneity to the scene.",B2,,
0039,"The photograph vividly portrays a quartet of jovial youths ensconced in a bucolic setting, participating in a convivial picnic. Engrossed in their repartee, they are accompanied by a canine that exudes an air of curiosity. The ensemble of photographic apparatus and disposable cups scattered about, coupled with their casual attire, suggests a day spent in the pursuit of recreation and shared interests.",C1,,
0040,"The tableau presented here is rich with the vitality of youth and the tranquil embrace of nature. Four individuals, a tapestry of companionship, are arrayed in a sylvan alcove, their visages alight with the incandescence of deep fellowship. A dog, the embodiment of domesticated serenity, graces the foreground, augmenting the scene's homeliness. The detritus of their sojourn — cameras, beverage cups — are the artifacts of their temporal joy, captured under the aegis of verdant boughs.",C2,,
0041,"The picture shows a group of four friends enjoying a picnic in a park. There's a lot of greenery around them, and they seem to be having a good time. A small fluffy dog is standing in the foreground, looking directly at the camera. They have snacks and drinks, and it looks like a beautiful sunny day.",B1,,
0042,"In this image, we observe a social gathering in what appears to be a lush park setting. The four individuals are seated on a blanket, deeply engaged in a conversation and laughter, indicating a comfortable camaraderie among them. A small dog with a shaggy coat is present in the scene, adding to the relaxed and friendly atmosphere. The environment is sunlit, with ample trees, suggesting a day well chosen for outdoor leisure.",B2,,
0043,"This is a candid capture of a group of friends at a picnic, surrounded by the serenity of a densely wooded area. The quartet is evidently engaged in an animated discussion, possibly sharing stories or jokes, judging by their expressions and body language. A diminutive canine companion appears to be partaking in the festivities as well, positioned as if it were an integral member of the group. The tableau is bathed in the natural light of what one can infer to be a temperate day, judging by their attire.",C1,,
0044,"Depicted here is an idyllic scene of camaraderie and mirth, where four young adults are ensconced in the dappled shade of a verdant grove. Their mien of delight is unfeigned, manifest in the open gestures and convivial discourse that seems to be transpiring. The ensemble is completed by the presence of a small, shaggy-furred canine, whose stance suggests a sense of belonging and contentment amidst the human companions. The play of light through the foliage casts a tranquil ambience, enhancing the sylvan charm of the tableau.",C2,,
0045,I see four people and one dog. They sit on grass. They happy.,A1,,
0046,There are four friends and a small dog. They are sitting in the park and look happy.,A2,,
0047,The picture shows a group of friends enjoying a picnic in a park. There is also a cute dog with them.,B1,,
0048,"In the image, a group of young adults are seen having a good time together during a picnic in what appears to be a shaded park area, accompanied by a furry companion.",B2,,
0049,"The photograph captures a jovial moment among a diverse group of individuals partaking in a casual outdoor gathering, with the addition of a delightful canine, in a verdant park setting.",C1,,
0050,"This candid snapshot encapsulates the essence of youthful camaraderie and leisure, depicting a convivial ensemble of individuals engaged in an alfresco social rendezvous, complemented by the presence of an endearing canine, all set against the backdrop of an idyllic, sylvan landscape.",C2,,
0051,A dog and people sit outside. Trees are there. They have cups.,A1,,
0052,Four people are sitting on the ground with a white and brown dog. They have drinks and cameras.,A2,,
0053,"There's a group of friends gathered in a forested area enjoying their time. A dog is with them, and they seem to be on a picnic.",B1,,
0054,"The picture depicts a relaxed outdoor setting where four individuals and a dog are engaging in a picnic, surrounded by trees and enjoying a sunny day.",B2,,
0055,"Captured here is an intimate assembly of four individuals ensconced in a tranquil forest clearing, their merriment palpable, accompanied by a small dog, basking in the dappled sunlight.",C1,,
0056,"This tableau offers a glimpse into a spontaneous moment of repose, where a quartet of young adults—flanked by a canine companion—revel in the camaraderie that only a sun-drenched grove can bestow, their effervescence almost tangible.",C2,,
0057,People and dog. They sit. Trees around.,A1,,
0058,There is one dog and some people. They are outside with trees.,A2,,
0059,A group of people and a dog are sitting on the grass under the trees. It's daylight.,B1,,
0060,"A casual gathering of friends and a dog is captured here, enjoying the outdoors among trees, with personal items strewn about.",B2,,
0061,"The essence of leisure is perfectly portrayed in this image, where friends and their dog are ensconced in the verdure of a forest, engaging in what seems to be a carefree soiree.",C1,,
0062,"An impromptu congregation of youthful spirits unfolds amidst an arboreal alcove, a symphony of laughter permeating the air, as they are accompanied by their four-legged confidant in this sylvan retreat.",C2,,
0063,"In the picture, there are many people. They sit on the grass. There is a white and brown dog. The dog is small. Many trees are around them. People have cups and cameras. They look happy.",A1,,
0064,This is a photo of a group of four people. They are sitting on the grass at a park. They have a small dog with them. The dog is brown and white. There are trees around them. It is a sunny day. They are having a good time together.,A2,,
0065,"The image depicts a diverse group of four individuals gathered in a park, enjoying a leisurely picnic. They are seated on the green grass. With them is a small, fluffy dog of brown and white fur. The dog seems to be part of their company. The surrounding trees provide a lush background, suggesting a peaceful setting. The group has brought along a camera, presumably to capture memories of their outing.",B1,,
0066,"In this photograph, we see a convivial assembly of four individuals partaking in a picnic in what appears to be a verdant parkland. Accompanied by a petite dog, their joy is palpable. The flora that envelops them hints at a tranquil ambiance. Various belongings such as a camera, drinks, and perhaps their personal items are casually placed around them, signifying a day spent in relaxation and friendship.",B2,,
0067,"This photograph offers a glimpse into a quintessential outdoor excursion, where a quartet of friends, diverse in appearance, are captured amidst a tranquil, sylvan setting, partaking in what could only be described as a quintessential picnic. The addition of a charming, brown and white canine adds a layer of warmth to the scene. The sprawling canopy of trees above them bathes the group in soft shadows, while their casual array of personal items and refreshments scattered around suggests an afternoon dedicated to the simple pleasures of companionship and the great outdoors.",C1,,
0068,"Here we are privy to an idyllic scene, a tableau vivant set against the tapestry of nature's own canvas. A quartet of young individuals, each one distinctly unique in demeanor, is ensconced in the bosom of a pastoral glade, engaged in the age-old tradition of a picnic. They are not alone, for with them is a small dog, its coat a patchwork of brown and white, exuding an air of contentment that is infectious. Around them, the arboreal guardians stand tall, their leafy branches forming a cathedral that celebrates the simple act of human connection. This scene, replete with a smattering of personal effects and provisions, is less about the feast of food and more about the feast of time, unspooled in the company of friends under the gaze of the gentle sun.",C2,,
0069,I see big green place with many trees and sky. Four people are there with one small happy dog. They sit on ground and have black and red cups. People smile and talk.,A1,,
0070,"In this photo, there are four friends sitting together on a big grass area. They have a cute dog with brown and white color. They seem very happy and enjoy the sun. There are big trees around them and they have drinks and a camera to take pictures.",A2,,
0071,"The photo shows a group of friends, two men and two women, enjoying a sunny day out in the park. They are sharing a picnic blanket, with drinks and a camera placed beside them. A friendly-looking dog with brown and white fur is standing next to them. They all look relaxed and are chatting with each other while enjoying the shade under tall pine trees.",B1,,
0072,"This vibrant image captures a scene of camaraderie and relaxation. Four young adults are spread out on a picnic blanket, soaking up the serene atmosphere of a pine grove. The dog in their midst, part shih tzu perhaps, stands alert yet at ease. The air is undoubtedly filled with their laughter and casual chatter, punctuated by the click of the camera and the clink of cups, as they indulge in the simple joy of a shared meal beneath the dappled light.",B2,,
0073,"The photograph, rich in verdancy, portrays a gathering of four individuals, diverse in their appearance and united in their leisure. A blanket serves as their common ground in the midst of what appears to be an old-growth pine forest. The dog among them, fluffy and attentive, adds a sense of homeliness to the scene. One can almost hear the bubbling conversation, lighthearted and spirited, as they exchange stories and laughter, the duality of nature and friendship captured in this single frame.",C1,,
0074,"In the embrace of nature's own realm, a verdant copse serves as the stage for this tableau, wherein four souls are woven into the rich tapestry of an impromptu picnic. Here, amidst the whispering pines and the soft play of light and shadow, a dog of diminutive stature yet ample character holds court. Their laughter is a symphony, harmonizing with the ambient symphony of the woodland. Each individual, an embodiment of youth's vitality, contributes to the narrative of this convivial summit, their repast and repose a testament to the enduring allure of nature's sanctuary.",C2,,
0075,This picture has green color from many trees. Four friends are sitting on the ground. They have a dog. The dog looks like he is smiling. They have things for eating and taking photos. It is a happy day for them.,A1,,
0076,The picture shows a small group of people and a dog in a place with lots of trees. They are sitting on the ground and have some drinks. They look like they are having fun. Maybe they are friends. The dog is cute and has fluffy fur.,A2,,
0077,"In the image, a small group of four individuals and a pet dog are enjoying what seems to be a pleasant day in a park filled with tall trees. They are sitting on the grass, surrounded by a few items like a camera and drinks, which indicates they might be having a picnic and enjoying a conversation in the great outdoors.",B1,,
0078,"The image showcases a quartet of individuals engrossed in the delights of a shared picnic, accompanied by a charming, small dog. The setting is a lush park, replete with towering trees and dappled sunlight. The assortment of a camera, drinks, and casual sitting arrangement suggests a day spent in joyous leisure, capturing memories amidst the tranquility of nature.",B2,,
0079,"Displayed here is a tableau of relaxed social interaction within a sunlit glade, four friends accompanied by a diminutive canine are portrayed enjoying the simple pleasures of a picnic. The smattering of personal items, including a camera, indicates a desire to capture the ephemeral moments of their jovial congregation, while the tall trees provide a protective canopy, their leaves whispering the tales of the forest.",C1,,
0080,"This tableau captures a moment in time where human and nature's elements coalesce into a harmonious symphony. The subjects, a diverse group of four individuals, are engaged in a social interlude in the lap of a densely wooded grove. Their picnic, accompanied by a small, attentive dog, is a study in camaraderie and leisurely repose. The sprawling trees act as silent witnesses to their revelries, the soft light filtering through the canopy, and their personal effects strewn around them, all coalescing to create a narrative of a pause from the mundane, an ode to the pastoral life.",C2,,
0081,Big place with lots of trees is there. Four people are on grass with one dog. The dog looks happy. People sit with food and drink. They have camera for pictures. Nice day with friends.,A1,,
0082,The photo has four people and a dog sitting on the grass. They look happy and relax. Many trees around them. They are drinking something and have a camera. Maybe they are friends in a park.,A2,,
0083,"A group of four, perhaps friends, with a dog, are enjoying a gathering in a park. They're seated comfortably on the ground, surrounded by a green landscape. Their expressions suggest they're having a lively conversation. They have brought with them beverages and a camera, likely to capture the day's memories.",B1,,
0084,"This photo illustrates a carefree moment of four friends and a dog in a tranquil park setting. They're engaged in what appears to be an animated conversation, casually seated on the grass. The presence of a camera and beverages suggests they're there to unwind and possibly document their outing amidst the greenery.",B2,,
0085,"This image portrays an eclectic group of young adults, alongside a canine companion, engaged in a convivial retreat within a lush parkland. They're seated amidst the grass, seemingly in mid-discussion, exuding a sense of relaxation and enjoyment. A camera is present, indicative of their intent to immortalize the moment, as they partake in beverages and the comfort of each other's company under the expansive tree canopy.",C1,,
0086,"In a scene that invokes the pastoral idylls of yore, this image intricately weaves the narrative of a modern-day fellowship. Four individuals, diverse in their visage, are arrayed in a clearing that boasts a verdant array of pine trees. Their casual repose, punctuated by a shared canine friend, suggests an impromptu sojourn from the throes of daily life. The smattering of personal belongings and consumables complements the overarching theme of a tranquil interlude, aptly captured by the lens of their camera, a silent chronicler of their forest-bound tales.",C2,,
0087,Many trees and people are in this place. People sit on green grass. They have one small dog. The dog is happy. People drink and talk. They use camera for photos. It's a good day for them.,A1,,
0088,"In this picture, four friends and a cute dog are spending time together. They are outside in a place with many trees. They sit on the grass and seem to be having fun. They have something to drink and a camera to take photos.",A2,,
0089,"Here is a scene of four people and a playful dog enjoying the outdoors. They're seated on a grassy area, which is surrounded by trees, and they have drinks and a camera. The setting appears to be a park where they're spending a leisurely day together.",B1,,
0090,"The photograph captures a quartet of individuals and a small dog lounging in a park. They appear engaged in light-hearted banter, enjoying each other's company. The setting is lush with greenery, suggesting a peaceful day out in nature. Their picnic setup is casual, with drinks and a camera at hand, emphasizing the relaxed atmosphere.",B2,,
0091,"This image unfolds a narrative of leisure and camaraderie in a sylvan backdrop, where a group of four friends, along with their canine companion, are engrossed in a convivial gathering. The scene is set on a verdant carpet of grass, encapsulated by an array of trees, indicative of a park-like environment. They are seen with beverages, engaged in conversation, while a camera rests nearby, presumably to capture the memories of their idyllic afternoon.",C1,,
0092,"Evocative of a bygone era's pastoral scenes, this composition presents a contemporary tableau vivant. Within the confines of a wooded glade, four diverse characters converge, accompanied by a companionable dog. Their repose on the grass is casual yet intimate, the tableau peppered with signs of a picnic—beverages and a camera at the ready. The forest acts as a silent auditorium to their dialogue, the dappling of sunlight through the leaves enhancing the timelessness of their assembly.",C2,,
0093,"Picture has green trees and blue sky. Four friends sit down on grass. They have little dog, looks happy. They hold cups and talk. One camera is there. They look like they like this day.",A1,,
0094,This is a picture of four people and a dog in a place with lots of trees. They sit on the grass. They have cups and look happy. The dog is brown and white. They are maybe having picnic. There is also a camera.,A2,,
0095,"The image presents four individuals and a dog sitting in a lush area surrounded by trees. They seem to be enjoying a warm day out in the nature. They are casually seated, sipping from their cups, and have a camera likely to capture the day's moments.",B1,,
0096,"This image portrays a moment of relaxation and companionship. Four friends and a fluffy dog are seated on the grass in a forested area, enjoying a respite from daily life. They have brought along drinks and a camera, suggesting a day spent capturing memories together.",B2,,
0097,"In this verdant enclave, we observe a quartet of individuals and their canine peer in a moment of repose, seemingly detached from the bustle of everyday life. Engrossed in a tapestry of conversation, they are encircled by an abundance of trees. The assortment of drinks and the nearby camera indicate an intent to document this peaceful congregation.",C1,,
0098,"Here lies a serene interlude, depicted through the lens of a tranquil gathering of friends in a forest haven. Accompanied by a small dog, their informal circle is a blend of contented dialogue and shared refreshments, with the quiet forest providing a natural amphitheater. A camera lies within reach, poised to encapsulate this tableau of friendship and the simplicity of a moment savored away from the fray.",C2,,
0099,"In this photo, many trees and some sky. People sit on grass. One small dog is there, very cute. People have cups, maybe drinks. They have camera. Trees are big. It is a nice place.",A1,,
0100,The picture shows a group of people and one dog. They are sitting down in a place with a lot of trees. They seem happy and have drinks. They are outside in the daytime. There is also a camera with them.,A2,,
0101,"This photo depicts a friendly gathering of four people and a small dog, enjoying an afternoon in a park full of tall trees. They are sitting down, probably chatting, with drinks in their hands. A camera on the grass hints that they are making memories.",B1,,
0102,"Captured in this image is a group of four friends and a dog, likely enjoying a leisurely picnic in a tree-filled park. They are seated on the ground, engaged in conversation, with drinks to quench their thirst. The presence of a camera suggests that they wish to document their relaxing excursion.",B2,,
0103,"This image is an ode to leisure, where four friends are depicted along with their pet dog, ensconced in a tranquil grove. Their casual postures on the grass, amidst an array of beverages, bespeak a day spent in mirth. A camera, presumably to capture these candid moments, completes the scene, reinforcing the day's relaxed ethos.",C1,,
0104,"Within this arboreal tableau, a narrative of camaraderie unfolds, starring four friends and a diminutive dog. They are ensconced amidst the foliage, their disposition one of relaxation and unguarded interaction. A camera lies in wait, its silent presence a testament to their desire to immortalize the day's serene conviviality. The scene is a study in the art of repose, set against the tableau of nature's resplendent backdrop.",C2,,
0105,Photo is of people and dog in place with many green trees. They sit on ground. Dog is small and cute. People have cups in hand. One camera on grass. Sky is blue. They look happy.,A1,,
0106,"In this photo, there are people sitting in a green area with lots of trees. They have a small dog with them. They are holding drinks and seem to be relaxing. There's a camera placed on the grass, suggesting they might be taking pictures of their outing.",A2,,
0107,"This image captures a group of friends and a dog enjoying a day outdoors, surrounded by a lush forest. They are seated comfortably on the grass, each with a drink in hand, indicating a moment of relaxation. A camera rests nearby, hinting at their intention to document this peaceful gathering.",B1,,
0108,"The photograph presents a tranquil moment amongst friends, immersed in a verdant woodland setting. Accompanied by a dog, they are seated on the grass, engrossed in light-hearted conversation, with beverages within reach. The camera lying on the grass foregrounds their desire to capture the essence of this serene encounter.",B2,,
0109,"This composition offers a glimpse into a serene convocation nestled within an expanse of greenery, where individuals and a dog partake in the simplicity of an outdoor gathering. Positioned informally on the ground, they are depicted amidst a leisurely exchange, with drinks serving as companions to their discourse. A solitary camera, positioned unobtrusively, speaks to the intent of preserving the fleeting moments of this sylvan repose.",C1,,
0110,"In the bosom of a verdant haven, this image artfully chronicles a moment of collective solace shared by a coterie and their canine confidant. Anchored in the embrace of nature, they are arrayed with a casual grace, their repartee punctuated by sips from their vessels. The presence of a camera, deliberately placed amidst them, serves as a silent guardian of memory, poised to immortalize the ephemeral beauty of their communion amid the whispers of the forest.",C2,,
0111,This picture show place with lots of trees and blue sky. There are people and one dog sitting on the ground. The dog looks happy. People have something to drink. There is a camera too. They seem to enjoy being together outside.,A1,,
0112,"The photo captures a group of people and a small dog enjoying time in a green area full of trees. They're sitting on the ground, holding drinks, and appear to be in a relaxed mood. A camera on the grass suggests they're taking pictures of their gathering.",A2,,
0113,"In this vibrant scene, four friends and their pet dog are found enjoying a leisurely day in a park, enveloped by an abundance of trees. They're seated casually on the grass, with drinks in hand, indicating a moment of relaxation and enjoyment. The presence of a camera implies they're keen on capturing memories of this day.",B1,,
0114,"This picture beautifully portrays a tranquil moment of connection among a group of friends and a dog, set against the backdrop of a lush, wooded area. They're gathered on the grass, each holding a drink, deeply engrossed in conversation. A nearby camera suggests a desire to capture the essence of their camaraderie and the natural beauty surrounding them.",B2,,
0115,"Within this image lies a tableau of friendship and serenity, as a group of individuals, accompanied by a canine companion, find solace beneath the canopy of an expansive forest. They are depicted in a state of relaxed engagement, beverages in hand, amidst the verdant flora. A camera, placed subtly among them, hints at their intent to document the fleeting moments of this idyllic assembly, further emphasizing the depth of their bond and the peaceful ambiance of their surroundings.",C1,,
0116,"Herein is captured a poignant snapshot of human and nature in symphony; a cadre of friends, alongside their faithful dog, is ensconced in the embrace of a verdant woodland. Their relaxed postures and the casual sprawl of drinks before them suggest a moment of reprieve from the mundane. The scene is meticulously anchored by the discreet placement of a camera, a testament to their desire to immortalize the ephemeral grace of their communion amidst the gentle whispers of the forest, a lyrical ode to the simplicity and profundity of shared moments in the lap of nature.",C2,,
0117,"In picture, lots of trees and blue up above. Four people and one dog are there. They sit on green stuff on ground. Dog is happy. People have cups and talk. They put camera on ground. It looks like fun time.",A1,,
0118,"The picture shows a group of four people with a dog, sitting in a place with many trees. They seem to be having a good time. They're holding cups, maybe they are drinking something. A camera is there too, maybe they took some photos of their day.",A2,,
0119,"This photo depicts a group of friends, four in total, along with a joyful dog, spending quality time in a lush green setting. They are all seated comfortably on the grass, engaging in casual conversation with drinks in hand. A camera is also seen placed nearby, indicating their intention to capture the moments of their outdoor adventure.",B1,,
