Student_id ,Question,Answer,Rank
0011,Essay about introducing yourself,"Good day, everyone. My name is Emily, and I am thrilled to be part of this English class. Originally from Bangkok, Thailand, I have had the privilege of traveling extensively, which has greatly influenced my perspective on language and culture. I am currently in my final year of high school, pursuing my interests in literature, psychology, and international relations. Outside of academics, I am an avid debater and enjoy volunteering for various community projects. I look forward to engaging in stimulating discussions and expanding my knowledge alongside my peers. Thank you for this opportunity.",C1
0012,Essay about introducing yourself,"Greetings, everyone! I am Richard, but you can call me Roger. I hail from the vibrant city of Bangkok, Thailand. At 18 years of age, I find myself amidst the tumultuous yet thrilling final year of high school. My interests are diverse and eclectic, ranging from literature to quantum physics. I derive immense pleasure from engaging in philosophical debates and immersing myself in the complex narratives of classic literature. Beyond academia, I am an ardent advocate for environmental conservation and social justice. In my leisure time, I indulge in activities such as hiking, photography, and volunteering at local NGOs. As I stand on the cusp of adulthood, I am filled with boundless curiosity and a fervent desire to explore the world. Thank you for allowing me to share a glimpse of my identity with you all.",C1
0013,Essay about introducing yourself,"Hello, everyone! My name is Jess. I'm 17 years old and I come from Bangkok, Thailand. I'm currently a high school student, and I'm in my final year. In my free time, I enjoy reading books, especially mystery novels, and spending time with my friends. I'm also passionate about learning new languages, and English is one of my favorites. I find it fascinating to communicate with people from different cultures and backgrounds. After I finish school, I hope to study abroad and pursue a career in international relations. Thank you for listening to me!",B1
0014,Essay about introducing yourself,Hello! My name is Ern. I am 15 years old. I am from Thailand. I like playing football and watching movies. My favorite subject is math. I have one brother and one sister. My favorite food is pizza. Thank you!,A1
0015,Essay about introducing yourself,"As I sit down to pen these words, I find myself at a crossroads between introspection and articulation. The task at hand demands that I weave together the intricacies of my being into a coherent narrative—a narrative that both encapsulates my essence and leaves room for the vast complexities that define me. Introducing oneself is akin to embarking on a journey of self-discovery, a journey that traverses through the landscapes of identity, experiences, and aspirations.

At the core of my identity lies a tapestry woven from the threads of diverse cultures and perspectives. Born into a multicultural family, I have been blessed with the privilege of embracing different traditions, languages, and worldviews. This kaleidoscope of influences has shaped my outlook on life, instilling in me a profound appreciation for diversity and a curiosity to explore the nuances of human existence.

My journey through academia has been marked by a relentless pursuit of knowledge and intellectual growth. Fuelled by a passion for learning, I have navigated through the realms of literature, science, and the arts with an insatiable thirst for understanding. Each subject, each discipline, has offered me a new lens through which to perceive the world, enriching my understanding of the human experience and fostering a deep sense of empathy towards others.

Beyond the confines of the classroom, I am a fervent advocate for social justice and equality. I believe in the power of collective action to effect positive change and strive to be a catalyst for progress in my community. Whether through volunteering at local shelters, participating in grassroots movements, or engaging in meaningful conversations, I am committed to making a tangible difference in the lives of those around me.

Looking towards the future, I am filled with a sense of optimism and purpose. Armed with a strong foundation of knowledge and a boundless spirit of inquiry, I am eager to embark on new adventures and embrace the challenges that lie ahead. Whether it be in academia, professional endeavors, or personal pursuits, I approach each opportunity with an open mind and a determination to leave my mark on the world.

In conclusion, the task of introducing oneself is far from simple—it is a journey of self-discovery, a reflection of one's past, present, and future. Through this essay, I have attempted to offer a glimpse into the myriad dimensions of my being, acknowledging that words can only capture a fraction of the complexity that defines me. As I continue to navigate through life's twists and turns, I am grateful for the opportunity to share my story and to learn from the stories of others.

",C1
0016,Essay about introducing yourself,"Hi, I’m Tom. I’m currently a student in high school. I come from Bangkok, Thailand. Besides studying, I enjoy playing basketball and reading novels. I have a passion for learning new languages, and English is one of my favorites. I find it fascinating to explore different cultures through language. I’m excited to improve my English skills and make new friends from around the world. Nice to meet you!",B1
0017,Essay about introducing yourself,"Greetings, esteemed readers. Allow me to introduce myself; I am Emily, an avid scholar pursuing higher education in the vibrant city of Bangkok, Thailand. My academic journey has been enriched with diverse experiences, fostering a deep appreciation for intellectual exploration. Beyond the confines of academia, I revel in the beauty of literature, the intricacies of art, and the melodies of music. English, with its eloquence and universality, has captivated my interest since childhood. It serves as a conduit for me to engage with global discourse, transcending geographical boundaries. As I embark on this essay, I am reminded of the profound significance of self-expression and the power of language to connect souls. Thus, I extend my gratitude for this opportunity and eagerly anticipate the dialogue it may spark.",C1
0018,Essay about introducing yourself,Hello! My name is Sara. I am a student. I am from Thailand. I like to play games. My favorite color is blue. Thank you.,A1
0019,Essay about introducing yourself,Hello! My name is Ploy. I am 13 years old. I come from Thailand. I like to play with my friends and draw pictures. My favorite color is blue. I have one sister. Her name is Nong. I go to school by bike. My favorite subject is Science. Thank you.,A1
0020,Essay about introducing yourself,"Hi! My name is Tawan. I am 14 years old. I'm from Thailand. I enjoy playing soccer and watching movies. My favorite movie is ""Spider-Man"". I have one pet. It's a cat named Whiskers. I walk to school every day. My favorite subject is English. Thank you.",A1
0021,Essay about introducing yourself,Hey there! My name is Nong. I am 12 years old. I'm from Thailand. I love to sing and dance. My favorite singer is Taylor Swift. I have one brother. His name is Bank. I usually go to school with my mom. My favorite subject is Art. Thank you.,A1
0022,Essay about introducing yourself,Hello! My name is Tom. I am 15 years old. I am from Thailand. I like to play football with my friends. My favorite subject is math. I have a dog. Its name is Buddy. I have one sister. Her name is Alice. Thank you.,A1
0023,Essay about introducing yourself,"Hello, everyone! My name is Sarah and I am 16 years old. I come from Bangkok, Thailand. I enjoy spending my free time reading books and watching movies. My favorite book is 'To Kill a Mockingbird' by Harper Lee. I have a passion for learning new languages, and I'm currently studying Spanish as well. I have a big family consisting of my parents, two younger brothers, and one older sister. I am excited to be here and meet new friends. Thank you for listening!",B1
0024,Essay about introducing yourself,"Good day, esteemed colleagues! My name is David, and at 17 years of age, I hail from the vibrant city of Bangkok, Thailand. Engaging with various cultures and languages has always fascinated me, hence my fervent pursuit of mastering the English language. Beyond academia, I indulge in an eclectic array of interests, including composing poetry, engaging in philosophical discourse, and exploring the nuances of classical music. As an ardent advocate for environmental sustainability, I actively participate in local initiatives aimed at fostering eco-consciousness within our community. Furthermore, I am an avid proponent of interdisciplinary learning, and I relish the opportunity to delve into the realms of literature, history, and science with equal zeal. In conclusion, I am honored to be part of this esteemed institution, and I eagerly anticipate the intellectual and personal growth that awaits me. Thank you for your attention.",C1
0025,Essay about introducing yourself,Hi there! My name's Emma. I'm 14 years old and I'm from Thailand. I enjoy playing video games with my friends and spending time outdoors. My favorite subject in school is science because I love learning about how things work. I have a pet cat named Luna. She's very playful and keeps me company at home. I have one older brother who's in university. I'm looking forward to making new friends here and learning lots of new things. Thanks for listening!,A1
0026,Essay about introducing yourself,"Hey, everyone! I'm Alex, a 16-year-old student from Bangkok, Thailand. In my free time, I love playing the guitar and writing songs. Music is my passion, and I hope to pursue it professionally one day. Besides music, I also enjoy playing basketball with my friends and going on hikes in nature. English has always been my favorite subject because it allows me to express myself creatively. I come from a small family with just my parents and me. I'm thrilled to be part of this community and can't wait to meet you all. Thanks for listening!",B1
0027,Essay about introducing yourself,"Greetings, esteemed colleagues! My name is Rachel, a 17-year-old scholar hailing from the bustling city of Bangkok, Thailand. My insatiable curiosity has led me to explore various intellectual pursuits, ranging from literature and philosophy to mathematics and computer science. Beyond the confines of academia, I am an avid advocate for social justice and environmental sustainability, actively participating in initiatives aimed at effecting positive change within our society. As an ardent aficionado of the arts, I find solace in the harmonious melodies of classical music and the evocative prose of renowned authors. I come from a close-knit family, and the values instilled in me by my parents have shaped my worldview profoundly. I am deeply honored to be part of this esteemed institution and eagerly anticipate the wealth of knowledge and experiences that await me. Thank you for your kind attention.",C1
0028,Essay about introducing yourself,"Greetings, distinguished audience! My name is Benjamin, a 17-year-old scholar from the bustling city of Bangkok, Thailand. I possess a keen interest in the English language and literature, often delving into the works of renowned authors such as Shakespeare and Austen. Apart from academia, I am an avid athlete, participating in various sports such as basketball and swimming. Additionally, I am deeply committed to environmental conservation and actively engage in initiatives aimed at promoting sustainability within our community. I hail from a close-knit family, and the values instilled in me by my parents have shaped my worldview profoundly. I am honored to be part of this esteemed institution and eagerly anticipate the intellectual and personal growth that awaits me. Thank you for your attention.",C1
0029,Essay about introducing yourself,"Hey everyone! My name is Emily and I'm 15 years old. I'm from Bangkok, Thailand. In my spare time, I enjoy reading novels and watching movies, especially ones with intriguing plots. Science has always fascinated me, which is why it's my favorite subject in school. I have a pet cat named Whiskers who is like a member of our family. I have two siblings, an older brother, and a younger sister. I'm thrilled to be here and looking forward to making new friends. Thanks for listening!",B1
0030,Essay about introducing yourself,Hi there! My name is Jack. I'm 13 years old and I come from Thailand. I like playing soccer with my friends during my free time. Math is my favorite subject in school because I find it interesting and fun. I have a pet dog named Max who is very playful. I have one younger sister who is in elementary school. I'm excited to meet new friends here and learn English together. Thank you for listening!,A1
0031,Essay about introducing yourself,Hello! My name is Lily. I'm 14 years old and I'm from Thailand. I enjoy playing volleyball with my friends during the weekends. Math is my favorite subject in school because I find it challenging yet interesting. I have a pet rabbit named Fluffy who is very cute. I have one older brother who is in high school. I'm excited to learn English and meet new friends here. Thank you for listening!,A1
0032,Essay about introducing yourself,"Greetings, esteemed audience! My name is Olivia, a 17-year-old scholar hailing from the vibrant city of Bangkok, Thailand. My fervent passion for the English language and literature has driven me to explore the works of esteemed authors such as Shakespeare and Hemingway. Beyond academia, I am an avid advocate for social justice and environmental sustainability, actively engaging in initiatives aimed at fostering positive change within our society. Furthermore, I am deeply involved in extracurricular activities such as debate and public speaking, honing my skills in critical thinking and communication. I come from a close-knit family, and the values instilled in me by my parents have shaped my worldview profoundly. I am honored to be part of this esteemed institution and eagerly anticipate the intellectual and personal growth that awaits me. Thank you for your kind attention.",C1
0033,Essay about introducing yourself,"Hi, everyone! I'm Kevin, a 16-year-old student from Bangkok, Thailand. During my free time, I like to play the guitar and sing songs. Music is my passion, and I dream of becoming a professional musician one day. I also enjoy playing basketball with my friends and going hiking in nature. English is my favorite subject in school because it allows me to express myself creatively. I have a small family consisting of my parents and my younger sister. I'm thrilled to be part of this community and can't wait to improve my English skills. Thank you for listening!",B1
0034,Essay about introducing yourself,"Hello, everyone! My name is Emily and I'm 15 years old. I come from England. In my spare time, I enjoy reading novels and going for walks in the countryside. English literature is my favorite subject in school because I love analyzing stories and characters. I have a pet cat named Whiskers who is very playful. I have one younger brother who is in primary school. I'm excited to be here and meet new people. Thank you for listening!",B1
0035,Essay about introducing yourself,"Hi there! My name is Liam. I'm 14 years old and I come from the United States. In my free time, I enjoy playing video games and watching movies. My favorite subject in school is history because I love learning about the past. I have a pet dog named Buddy who is my loyal companion. I have one older sister who helps me with my homework. I'm excited to learn new things and make friends here. Thank you for listening!",A1
0036,Essay about introducing yourself,"Greetings, esteemed audience! My name is Max, a 17-year-old scholar hailing from Germany. My passion for languages and cultures has driven me to explore the intricacies of the English language and literature. Beyond academia, I am an avid traveler, having embarked on numerous journeys across Europe and beyond. Furthermore, I am deeply committed to environmental conservation and actively engage in initiatives aimed at promoting sustainability within our society. I come from a loving family with strong values, and their support has been instrumental in shaping my worldview. I am honored to be part of this esteemed institution and eagerly anticipate the intellectual and personal growth that awaits me. Thank you for your kind attention.",C1
0037,Essay about introducing yourself,Hello! My name is Wang Xiaoming. I am 15 years old. I come from China. I enjoy playing basketball with my friends. Math is my favorite subject because I find it interesting. I have a dog named Xiaohei. I have one older sister. Thank you!,A1
0038,Essay about introducing yourself,Hi! My name's Mia. I'm 14 years old and I'm from the United Kingdom. I enjoy playing football with my friends and reading adventure books. My favorite subject in school is science because I like doing experiments. I have a pet cat called Whiskers. I'm excited to learn new things and make new friends here. Thanks for listening!,A1
0039,Essay about introducing yourself,Hello! My name is Raju. I am 15 years old. I come from India. I enjoy playing cricket with my friends. Math is my favorite subject because I find it fun. I have a pet dog named Tom. I have one sister. Thank you!,A1
0040,Essay about introducing yourself,"Hello! I'm Oliver, a 16-year-old from the United Kingdom. In my free time, I enjoy playing the guitar and writing songs. Music is my passion, and I dream of becoming a professional musician. I also love playing football with my friends and going hiking in the countryside. English literature is my favorite subject because I enjoy analyzing stories and characters. I have a pet dog named Max who is my loyal companion. I'm thrilled to be part of this community and can't wait to make new friends. Thank you for listening!",B1
0041,Essay about introducing yourself,Hello! My name is Ani. I am 15 years old and I come from Indonesia. I enjoy playing football with my friends and reading adventure books. My favorite subject in school is math because I find it interesting. I have a pet cat named Whiskers. I have one younger brother who is 12 years old. I'm excited to learn English and meet new friends here. Thank you for listening!,B1
0042,Essay about introducing yourself,Hey there! My name is Ethan and I'm 17 years old. I'm from the United States. I love playing basketball and listening to music in my free time. My favorite subject in school is history because I find it fascinating to learn about different cultures and events. I have a pet rabbit named Snowball who loves hopping around the house. I'm really excited to improve my English skills and meet new people here. Thanks for listening!,B1
0043,Essay about introducing yourself,"Greetings, esteemed audience! My name is Isabella, a 17-year-old scholar hailing from the United Kingdom. My passion for literature and writing has propelled me to explore the intricacies of the English language. Beyond academia, I am an avid advocate for social justice and environmental sustainability, actively participating in initiatives aimed at fostering positive change within our society. Furthermore, I am deeply involved in extracurricular activities such as debate and public speaking, honing my skills in critical thinking and communication. I come from a close-knit family, and the values instilled in me by my parents have shaped my worldview profoundly. I am honored to be part of this esteemed institution and eagerly anticipate the intellectual and personal growth that awaits me. Thank you for your kind attention.",C1
0044,Essay about introducing yourself,"Hello, esteemed audience! My name is Aarav, a 16-year-old scholar hailing from India. My fervent passion for the English language and literature has driven me to explore the works of esteemed authors such as Shakespeare and Dickens. Beyond academia, I am an avid advocate for social justice and environmental sustainability, actively engaging in initiatives aimed at fostering positive change within our society. Furthermore, I am deeply involved in extracurricular activities such as debate and public speaking, honing my skills in critical thinking and communication. I come from a loving family with strong values, and their support has been instrumental in shaping my worldview. I am honored to be part of this esteemed institution and eagerly anticipate the intellectual and personal growth that awaits me. Thank you for your kind attention.",C1
0045,Essay about introducing yourself,"Hello, everyone! My name is Noah and I am 16 years old. I come from South Africa. In my free time, I enjoy playing rugby and hiking in the mountains. I am passionate about history and enjoy learning about different cultures and civilizations. I also have a strong interest in environmental conservation and am involved in local projects to protect our natural resources. I come from a diverse family background and have siblings from various ethnicities. I am excited to be part of this community and look forward to learning and growing together. Thank you for your attention.",C1
0046,Essay about introducing yourself,"Hello! My name is Erik and I'm 17 years old. I come from Sweden. In my free time, I like to play the guitar and swim in the lake. My favorite subject in school is science because I love learning about nature and the universe. I have a cat named Luna who loves to chase birds. I have a younger brother who loves to play video games. I'm looking forward to being here and learning from people all over the world. Thank you for listening!",C1
0047,Essay about introducing yourself,"Hello! My name is Alejandro and I'm 16 years old. I'm from Spain. In my free time, I enjoy playing the guitar and hiking in the mountains. My favorite subject in school is history because I love learning about the past. I have a dog named Max who is very playful. I have a younger sister who loves to draw. I'm excited to be here and learn from people all over the world. Thank you for listening!",C1
0048,Essay about introducing yourself,"Hello! My name is Sofia and I'm 17 years old. I'm from Brazil. In my spare time, I enjoy playing volleyball with my friends and reading poetry. My favorite subject in school is literature because I love exploring the different universes of books. I have a cat named Garfield who loves to sleep in the sun. I have an older brother who is studying medicine. I'm very excited to be here and meet amazing people. Thank you for listening!",C1
0049,Essay about introducing yourself,"Hello! My name is Camille and I'm 16 years old. I come from France. In my free time, I enjoy playing football with my friends and reading detective novels. My favorite subject in school is history because I love learning about the past. I have a dog named Pierre who is very playful. I have a younger brother who loves to draw. I'm delighted to be here and I'm looking forward to making new acquaintances. Thank you very much!",B1
0050,Essay about introducing yourself,"G'day! My name is Isabella and I'm 15 years old. I come from Australia. In my spare time, I enjoy surfing at the beach and going camping with my family. English literature is my favorite subject in school because I love diving into different worlds through stories. I have a pet koala named Joey who loves to nap in the eucalyptus trees. I have one older brother who is studying abroad. I'm thrilled to be here and learn from people all around the world. Thanks for listening!",B1
0051,Essay about introducing yourself,Namaste! My name is Rohan and I'm 16 years old. I come from India. I love playing cricket with my friends and exploring new places in my free time. Science is my favorite subject in school because I'm fascinated by the wonders of the natural world. I have a pet parrot named Coco who loves to mimic sounds. I have two younger sisters who keep me on my toes. I'm excited to improve my English skills and make new friends here. Thank you for listening!,B1
0052,Essay about introducing yourself,"Hello! My name is Luca. I am 14 years old and I come from Germany. In my free time, I like to play soccer with my friends. My favorite subject in school is math because I find it interesting. I have a dog named Max. I have an older sister. Thank you!",A1
0053,Essay about introducing yourself,Hello! My name is Yuuki. I am 13 years old and I come from Japan. My hobby is playing soccer with my friends. Math is my favorite subject. It's because it's interesting. I have a pet dog named Pochi. I have an older sister. Thank you!,A1
0054,Essay about introducing yourself,Hello! My name is Seo Young. I am 13 years old and I come from Korea. My favorite hobby is playing soccer with my friends. Math is my favorite subject because I find it interesting. I have a pet dog named Ppoya. I have one older sister. Thank you!,A1
0055,Essay about introducing yourself,Hi! My name is Amirah. I am 14 years old and I come from Malaysia. I like playing soccer with my friends during my free time. Math is my favorite subject in school because I find it enjoyable. I have a pet cat named Whiskers. I have one older sister. I'm very excited to learn English and make new friends here. Thank you!,A1
0056,Essay about introducing yourself,Hello! My name is Surchai. I am 13 years old and I come from Thailand. I enjoy playing soccer with my friends during my free time. My favorite subject in school is mathematics because I find it fun. I have one older sister. I'm excited to learn English and make new friends here. Thank you very much!,A1
0057,Essay about introducing yourself,"Hello! My name is Wei Li. I'm 15 years old and I'm from Singapore. In my free time, I like to play badminton with my friends and read mystery novels. Science is my favorite subject in school because I find it fascinating to learn about the world around us. I have a pet rabbit named Cinnamon who loves to hop around the garden. I have one older brother who is studying abroad. I'm thrilled to be here and improve my English skills. Thank you for listening!",A1
0058,Essay about introducing yourself,"Hello! My name is Sofia and I'm 18 years old. I come from Sweden. In my free time, I enjoy playing the piano and reading classic novels. My favorite subject in school is English literature because I love analyzing different characters and themes. I have a dog named Max who loves running around in the forest. I have an older sister who is studying art. I'm looking forward to being here and learning from people all over the world. Thank you for listening!",C1
0059,Essay about introducing yourself,"Hello! My name is Nikos and I'm 17 years old. I'm from Greece. In my free time, I like to play basketball and read fantasy books. My favorite subject in school is history because I enjoy learning about the past. I have a cat named Milo who likes to sleep on my bed. I have a younger sister who loves to draw. I'm excited to be here and I look forward to learning from people all over the world. Thank you for your attention!",C1
0060,Essay about introducing yourself,"Hello! My name is Lars and I'm 16 years old. I come from the Netherlands. In my free time, I enjoy playing guitar and cycling in nature. My favorite subject in school is English because I like listening to English music and watching movies. I have a cat named Luna who likes to sit on my lap when I'm reading. I have a younger sister who loves horse riding. I'm happy to be here and meet new people. Thank you for listening!",C1
0061,Essay about introducing yourself,"Hello! My name is Minh. I am 15 years old and I come from Vietnam. In my free time, I like to play soccer with my friends and read books about history. My favorite subject in school is literature because I like delving into stories and characters. I have a dog named Lucky. I have one younger sister. I'm very happy to be here and I want to improve my English skills. Thank you for listening!",B1
0062,Essay about introducing yourself,Hello! My name is Jiyeon. I am 16 years old and I come from South Korea. My favorite hobby is dancing with my friends. English is my favorite subject because I enjoy communicating with different cultures and people. I have a pet dog named Byul. I have a younger sister. Thank you!,B1
0063,Essay about introducing yourself,Hello! My name is Aditya. I am 17 years old and I come from Indonesia. I enjoy playing badminton with my friends and reading adventure books. English is my favorite subject in school because I like talking to people from different cultures. I have a pet cat named Whiskers. I have a younger brother who loves to draw. I'm very excited to learn here and meet new friends. Thank you!,B1
0064,Essay about introducing yourself,"Hello! My name is Li Hua, and I'm fourteen years old. I come from China. In my free time, I like to play soccer with my friends. Mathematics is my favorite subject in school because I find it interesting. I have a pet dog named Xiao Hei. I have one older brother. I'm excited to learn English here and make new friends. Thank you!",A1
0065,Essay about introducing yourself,"Hello! My name is Youssef and I'm 16 years old. I'm from Egypt. In my free time, I enjoy playing soccer with my friends and reading novels. Mathematics is my favorite subject in school because I find it entertaining. I have a pet cat named Miaow who loves to play. I have a younger sister. I'm excited to learn English here and to make new friends. Thank you!",B1
0066,Essay about introducing yourself,"Hello! My name is Péter and I'm 15 years old. I come from Hungary. In my free time, I like to play soccer with my friends and read fantasy books. My favorite subject in school is history because I find it interesting to study the past. I have a cat named Cicamica who loves to play. I have a younger brother who enjoys crafting. I'm very excited to be here and learn English. Thank you!",B1
0067,Essay about introducing yourself,"Hello! My name is Aarav and I'm 14 years old. I come from India. In my free time, I like to play cricket with my friends and watch movies. My favorite subject in school is science because I find it fascinating to learn about the world around us. I have a pet parrot named Mango who loves to mimic sounds. I have one younger sister. I'm excited to learn English here and make new friends. Thank you!",A1
0068,Essay about introducing yourself,"Hello! My name is Sophia and I'm 16 years old. I come from Ecuador. In my free time, I enjoy playing soccer with my friends and painting landscapes. My favorite subject in school is geography because I love learning about different countries and cultures. I have a pet dog named Rocky who enjoys going for walks in the park. I have one older brother. I'm excited to improve my English skills here and meet new people. Thank you for listening!",B1
0069,Essay about introducing yourself,"Hello! My name is Mateo and I'm 17 years old. I come from Colombia. In my free time, I like to play the guitar and go hiking in the mountains. My favorite subject in school is literature because I enjoy reading and analyzing different stories. I have a pet cat named Luna who likes to sleep in the sun. I have one younger sister. I'm looking forward to learning English here and making new friends. Thank you!",B1
0070,Essay about introducing yourself,"Hello! My name is Fatima and I'm 15 years old. I come from Egypt. In my free time, I enjoy playing basketball with my friends and writing poetry. My favorite subject in school is history because I find it interesting to learn about ancient civilizations. I have a pet turtle named Speedy who likes to explore its tank. I have one older brother. I'm excited to learn English here and communicate with people from different countries. Thank you for listening!",B1
0071,Essay about introducing yourself,"Hola! My name is Javier and I'm 18 years old. I come from Spain. In my free time, I enjoy playing the piano and cooking traditional Spanish dishes. My favorite subject in school is philosophy because I like exploring deep questions about life and existence. I have a pet rabbit named Canela who loves to hop around the garden. I have one younger brother. I'm thrilled to be here and improve my English skills while meeting new people. Thank you!",C1
0072,Essay about introducing yourself,"G'day! My name is Isabella and I'm 17 years old. I come from Australia. In my spare time, I love surfing at the beach and hiking in the mountains. English literature is my favorite subject in school because I enjoy analyzing different themes and characters in stories. I have a pet kangaroo named Joey who loves to hop around the backyard. I have one older sister. I'm excited to be here and learn from people around the world. Thanks for listening!",C1
0073,Essay about introducing yourself,"Hello! My name is Wei and I'm 12 years old. I come from Singapore. In my free time, I like to play video games and read comics. My favorite subject in school is science because I find experiments fascinating. I have a pet turtle named Shellie who enjoys swimming in its tank. I have one older sister. I'm excited to learn English and connect with people from different cultures. Thank you!",A1
0074,Essay about introducing yourself,"Hallo! My name is Lars and I'm 18 years old. I come from the Netherlands. In my free time, I like to play soccer and go cycling in the countryside. My favorite subject in school is physics because I'm fascinated by how the world works. I have a pet rabbit named Fluffy who loves to hop around the garden. I have one younger sister. I'm excited to learn English here and connect with people from different cultures. Thank you for listening!",C1
0075,Essay about introducing yourself,"Hello! My name is Linh and I'm 12 years old. I come from Vietnam. In my free time, I like to play with my friends and watch cartoons. My favorite subject in school is math because I like solving puzzles. I have a pet cat named Whiskers who loves to nap in the sun. I have one older sister. I'm excited to learn English and make new friends. Thank you!",A1
0076,Essay about introducing yourself,"Hello! My name is Nong and I'm 13 years old. I come from Thailand. In my free time, I like to play soccer with my friends and watch cartoons. My favorite subject in school is art because I enjoy drawing and painting. I have a pet goldfish named Bubbles who swims happily in its bowl. I have one older sister. I'm excited to learn English here and make new friends. Thank you!",A1
